generation_id,field_name,source_name,source_url,access_date,confidence
BMW_3-15_DA2,model_name,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_3-15_DA2,vehicle_type,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_3-15_DA2,production_start,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_3-15_DA2,production_end,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_3-15_DA2,status,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_3-20_AM,model_name,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_3-20_AM,vehicle_type,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_3-20_AM,production_start,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_3-20_AM,production_end,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_3-20_AM,status,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_303,model_name,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_303,vehicle_type,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_303,production_start,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_303,production_end,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_303,status,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_309,model_name,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_309,vehicle_type,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_309,production_start,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_309,production_end,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_309,status,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_315,model_name,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_315,vehicle_type,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_315,production_start,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_315,production_end,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_315,status,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_319,model_name,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_319,vehicle_type,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_319,production_start,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_319,production_end,BMW Group Classic Historic Archive,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
