generation_id,year,month,source_name,source_url,access_date,confidence
BMW_3-15_DA2,1929,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_3-15_DA2,1930,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_3-15_DA2,1931,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_3-15_DA2,1932,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_3-20_AM,1932,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_3-20_AM,1933,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_3-20_AM,1934,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_303,1933,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_303,1934,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_309,1934,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_309,1935,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_309,1936,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_315,1934,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_315,1935,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_315,1936,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_315,1937,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_319,1935,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_319,1936,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_319,1937,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_329,1936,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_329,1937,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_320,1937,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_320,1938,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_321,1938,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_321,1939,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_321,1940,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_321,1941,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_326,1936,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_326,1937,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_326,1938,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_326,1939,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_326,1940,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_326,1941,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_327,1937,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_327,1938,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_327,1939,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_327,1940,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_327,1941,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_328,1936,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_328,1937,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_328,1938,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_328,1939,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_328,1940,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_335,1939,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_335,1940,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_335,1941,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_501,1952,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_501,1953,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_501,1954,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_501,1955,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_501,1956,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_501,1957,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_501,1958,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_502,1954,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_502,1955,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_502,1956,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_502,1957,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_502,1958,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
BMW_502,1959,,BMW Group Classic Production Archive & Cumulative Series Statistics,https://www.bmwgroup-classic.com/en/history/historic-modeloverview-bmw.html,2026-08-22,High
